Symbol,Source,Headline,Impact,Prev_14,Prev_10,Prev_7,Prev_5,Prev_3,Prev_1,Current,1DAY,3DAY,5DAY,7DAY,10DAY,14DAY,Day,Scored
MPC,Alpaca,"Crude Prices Could Hit $95 This Summer: &#39;Oil Is Fighting The Fed, Again&#39;",0,188.88999938964844,196.57000732421875,200.1699981689453,197.3800048828125,201.5,211.3800048828125,216.32000732421875,,,,,,,Wednesday,LanModel
FTNT,Alpaca,"Piper Sandler Maintains Neutral on Fortinet, Maintains $75 Price Target",0,70.18000030517578,67.79000091552734,68.30000305175781,67.44999694824219,68.30999755859375,68.8499984741211,71.62000274658203,,,,,,,Wednesday,LanModel
SPY,Alpaca,"Fed Chair Powell Says Fed Is Not And Does Not Seek To Be Climate Policymaker; On Climate, Fed Has A Narrow Role As A Bank Supervisor, Which Over Time Is Likely To Include Climate-related Financial Risks",0,515.969970703125,515.7100219726562,521.2100219726562,518.8099975585938,523.0700073242188,518.8400268554688,520.0800170898438,,,,,,,Wednesday,LanModel
BCH,Alpaca,Why Bitcoin Cash Is Moving,0,23.600000381469727,22.760000228881836,21.270000457763672,21.889999389648438,22.270000457763672,22.149999618530273,22.665000915527344,,,,,,,Wednesday,LanModel
INTC,Alpaca,Intel Stock Dives As Chipmaker Changes Reporting Structure: Takeaways From 6 Analysts,0,43.22999954223633,42.04999923706055,42.56999969482422,41.9900016784668,44.16999816894531,43.939998626708984,40.78990173339844,,,,,,,Wednesday,LanModel
TCON,Alpaca,"HC Wainwright &amp; Co. Maintains Buy on TRACON Pharma, Lowers Price Target to $3",0,0.6309999823570251,0.38999998569488525,0.4569999873638153,0.4300000071525574,0.4300000071525574,0.41600000858306885,0.2590999901294708,,,,,,,Wednesday,LanModel
ABUS,Alpaca,Watching Arbutus Biopharma; Traders Circulate Arbutus/Genevant Vs Moderna Patent Infringement Lawsuit Claim Construction Order Court Documents,0,2.700000047683716,2.5,2.5,2.490000009536743,2.5799999237060547,2.5199999809265137,2.6814000606536865,,,,,,,Wednesday,LanModel
ACB,Alpaca,Cannabis Stocks Continue Skyrocketing Amid Florida And Global Legalization Advances,0,2.9700000286102295,3.640000104904175,4.860000133514404,4.210000038146973,4.389999866485596,5.005000114440918,6.579899787902832,,,,,,,Wednesday,LanModel
CME,Alpaca,"Keefe, Bruyette &amp; Woods Maintains Market Perform on CME Gr, Maintains $229 Price Target",0,219.36000061035156,216.36000061035156,214.5,212.8800048828125,215.2899932861328,214.8000030517578,213.8000030517578,,,,,,,Wednesday,LanModel
TLRY,Alpaca,What&#39;s Going On With Marijuana-Grower Tilray&#39;s Stock?,0,1.6699999570846558,1.9199999570846558,2.309999942779541,2.309999942779541,2.4700000286102295,2.4100000858306885,2.625,,,,,,,Wednesday,LanModel
ARKK,Alpaca,What&#39;s Going On With Roku Shares After Partnering National Basketball Association?,0,50.36000061035156,48.5099983215332,49.40999984741211,50.029998779296875,50.08000183105469,47.779998779296875,47.97999954223633,,,,,,,Wednesday,LanModel
AMZN,Alpaca,"Amazon Web Services Streamlines Operations, Reduces Workforce in Key Departments Amid Digital Pivot",0,176.55999755859375,175.89999389648438,178.8699951171875,178.3000030517578,180.3800048828125,180.69000244140625,182.65660095214844,,,,,,,Wednesday,LanModel
HD,Alpaca,$1000 Invested In Home Depot 10 Years Ago Would Be Worth This Much Today,0,378.989990234375,379.4100036621094,390.2799987792969,379.92999267578125,383.6000061035156,363.0,361.2200012207031,,,,,,,Wednesday,LanModel
LMT,Alpaca,Here&#39;s How Much $1000 Invested In Lockheed Martin 20 Years Ago Would Be Worth Today,0,434.6000061035156,437.19000244140625,445.8800048828125,445.989990234375,454.8699951171875,453.239990234375,449.6499938964844,,,,,,,Wednesday,LanModel
ON,Alpaca,Looking At ON Semiconductor&#39;s Recent Unusual Options Activity,0,79.88999938964844,74.04000091552734,74.68000030517578,72.88999938964844,73.55000305175781,70.4800033569336,70.97000122070312,,,,,,,Wednesday,LanModel
KVUE,Alpaca,William Blair Initiates Coverage On Kenvue with Market Perform Rating,0,20.40999984741211,20.200000762939453,20.600000381469727,20.93000030517578,21.459999084472656,20.81999969482422,20.334999084472656,,,,,,,Wednesday,LanModel
SPY,Alpaca,Fed Chair Powell Says I Do Think Monetary Policy Is Working,0,515.969970703125,515.7100219726562,521.2100219726562,518.8099975585938,523.0700073242188,518.8400268554688,520.5551147460938,,,,,,,Wednesday,LanModel
SPY,Alpaca,Fed Chair Powell Says Economy Rebalancing Interest-Sensitive Sectors Such As Housing; Supply Side Recovery Is Stimulating New Demand And Supply,0,515.969970703125,515.7100219726562,521.2100219726562,518.8099975585938,523.0700073242188,518.8400268554688,519.60498046875,,,,,,,Wednesday,LanModel
CRNX,Alpaca,"Live On CNBC, Michelle Ross Mentions Crinetics Pharmaceuticals As A GLP-1 Adjacent Play During Halftime Segment &#39;Opportunities In Biotech&#39; Calling It Her &#34;Best Biotech Idea&#34;",0,40.5,45.18000030517578,44.290000915527344,43.369998931884766,46.810001373291016,46.0,47.400001525878906,,,,,,,Wednesday,LanModel
CRNX,Alpaca,"Live On CNBC, StemPoint Capital CIO Michelle Ross Mentions Crinetics Pharmaceuticals As A GLP-1 Adjacent Play During Halftime Segment &#39;Opportunities In Biotech&#39; Calling It Her &#34;Best Biotech Idea&#34;",0,40.5,45.18000030517578,44.290000915527344,43.369998931884766,46.810001373291016,46.0,47.25,,,,,,,Wednesday,LanModel
ANF,Alpaca,Behind the Scenes of Abercrombie &amp; Fitch&#39;s Latest Options Trends,0,125.97000122070312,131.0800018310547,134.97000122070312,121.97000122070312,125.33000183105469,131.39999389648438,131.32000732421875,,,,,,,Wednesday,LanModel
CCJ,Alpaca,Smart Money Is Betting Big In CCJ Options,0,39.56999969482422,41.15999984741211,43.189998626708984,42.099998474121094,43.31999969482422,47.68000030517578,49.2598991394043,,,,,,,Wednesday,LanModel
